Fine Tip Liquid Eyeliner,L.A GIRL,"1,000 ",7
Color Last Nail Polish - Crystal Top Coat,L.A. Colors,"1,000 ",1
Nail Polish - In A Flash,L.A. Colors,456 ,1
Nail Lacquer - Chocolate Shimmer,L.A. Colors,456 ,1
Nail Art Deco - Ice Breaker,L.A. Colors,475 ,1
Nail Polish - Sassy Sparkle,L.A. Colors,456 ,1
Matte Flat Velvet Lipstick - Bite Me,L.A GIRL,900 ,4
Lipliner Pencil Hazelnut,L.A. Colors,440 ,1
Twisty Lipgloss,L.A. Colors,750 ,2
"Ultimate Liquid Eyeliner - Black, 0.13 Fl. Oz",L.A. Colors,600 ,3
Nail Polish - Dimple,L.A. Colors,456 ,3
Nail Polish - Simply,L.A. Colors,456 ,7
Moisture Lipstick- Expresso,L.A. Colors,500 ,3
Hydrating Lipstick - Razzle Dazzle,L.A. Colors,700 ,1
Moisture Lipstick - Nude,L.A. Colors,500 ,11
Matte Lipstick - Entice,L.A. Colors,700 ,3
"HD Pro BB Cream - Deep, 1 fl. Oz",L.A GIRL,"1,350 ",3
Matte Lipstick - Mysterious,L.A. Colors,700 ,3
Auto Lipliners - Pinky,L.A. Colors,456 ,3
